Time (s),Position X (m),Position Y (m),Velocity (m/s),Heading,Yawrate,Length (m),Width (m),Vehicle Number,Agent_Type,Vx,Vy,Ax,Ay,V_lon,V_lat,A_lon,A_lat,2_Position X (m),2_Position Y (m),2_Velocity (m/s),2_Heading,2_Yawrate,2_Length (m),2_Width (m),2_Vehicle Number,2_Agent_Type,2_Vx,2_Vy,2_Ax,2_Ay,2_V_lon,2_V_lat,2_A_lon,2_A_lat
811.8,131.562,-33.305,7.862,-1.714,0,4.692,1.843,266,car,-1.027,-7.794,0.07,0.672,7.861,-0.099,-0.675,0.026,178.624,-39.833,14.081,-2.801,0.0067,4.655,1.959,267,car,-13.37,-4.418,-1.396,-0.887,14.078,0.301,1.612,-0.37
811.84,131.521,-33.615,7.836,-1.714,0,4.692,1.843,266,car,-1.027,-7.768,0.058,0.688,7.835,-0.095,-0.689,0.041,178.092,-40.01,14.164,-2.801,0.0075,4.655,1.959,267,car,-13.443,-4.463,-1.402,-0.891,14.161,0.287,1.619,-0.371
811.88,131.479,-33.925,7.81,-1.714,0,4.692,1.843,266,car,-1.026,-7.742,0.048,0.705,7.809,-0.092,-0.704,0.053,177.553,-40.19,14.247,-2.8,0.0088,4.655,1.959,267,car,-13.515,-4.508,-1.391,-0.884,14.244,0.277,1.607,-0.367
811.92,131.439,-34.233,7.783,-1.714,0,4.692,1.843,266,car,-1.026,-7.715,0.04,0.723,7.783,-0.088,-0.722,0.064,177.009,-40.373,14.328,-2.799,0.01,4.655,1.959,267,car,-13.586,-4.552,-1.365,-0.869,14.326,0.271,1.577,-0.361
811.96,131.398,-34.541,7.756,-1.714,0,4.692,1.843,266,car,-1.027,-7.688,0.033,0.743,7.756,-0.083,-0.74,0.073,176.46,-40.559,14.406,-2.798,0.0109,4.655,1.959,267,car,-13.654,-4.594,-1.324,-0.846,14.404,0.266,1.531,-0.351
812,131.356,-34.847,7.728,-1.714,0,4.692,1.843,266,car,-1.028,-7.66,0.029,0.765,7.728,-0.079,-0.761,0.08,175.907,-40.748,14.48,-2.798,0.0115,4.655,1.959,267,car,-13.719,-4.633,-1.27,-0.816,14.478,0.263,1.471,-0.34
812.04,131.317,-35.155,7.699,-1.714,0,4.692,1.843,266,car,-1.029,-7.63,0.028,0.788,7.699,-0.073,-0.784,0.085,175.351,-40.937,14.548,-2.797,0.012,4.655,1.959,267,car,-13.778,-4.67,-1.207,-0.782,14.546,0.257,1.4,-0.329
812.08,131.275,-35.46,7.669,-1.714,0,4.692,1.843,266,car,-1.03,-7.6,0.028,0.812,7.669,-0.067,-0.807,0.088,174.793,-41.129,14.611,-2.796,0.0123,4.655,1.959,267,car,-13.833,-4.704,-1.136,-0.745,14.609,0.254,1.321,-0.316
812.12,131.232,-35.763,7.638,-1.714,0,4.692,1.843,266,car,-1.031,-7.568,0.031,0.837,7.638,-0.061,-0.833,0.089,174.233,-41.321,14.668,-2.796,0.0124,4.655,1.959,267,car,-13.883,-4.735,-1.059,-0.705,14.666,0.252,1.236,-0.304
812.16,131.188,-36.065,7.606,-1.714,0,4.692,1.843,266,car,-1.03,-7.536,0.035,0.863,7.606,-0.056,-0.859,0.089,173.672,-41.514,14.719,-2.795,0.0125,4.655,1.959,267,car,-13.927,-4.763,-0.98,-0.665,14.717,0.251,1.147,-0.293
812.2,131.148,-36.365,7.573,-1.714,0,4.692,1.843,266,car,-1.03,-7.503,0.04,0.89,7.573,-0.05,-0.887,0.088,173.109,-41.707,14.765,-2.795,0.0125,4.655,1.959,267,car,-13.966,-4.789,-0.899,-0.625,14.763,0.246,1.058,-0.282
812.24,131.106,-36.665,7.538,-1.714,0,4.692,1.843,266,car,-1.029,-7.468,0.045,0.918,7.538,-0.045,-0.915,0.086,172.546,-41.901,14.805,-2.794,0.0124,4.655,1.959,267,car,-14.001,-4.812,-0.819,-0.587,14.803,0.244,0.97,-0.273
812.28,131.063,-36.963,7.503,-1.714,0,4.692,1.843,266,car,-1.026,-7.432,0.05,0.948,7.503,-0.041,-0.945,0.085,171.983,-42.095,14.841,-2.794,0.0122,4.655,1.959,267,car,-14.031,-4.834,-0.741,-0.55,14.839,0.242,0.884,-0.265
812.32,131.023,-37.259,7.467,-1.713,0,4.692,1.843,266,car,-1.025,-7.396,0.055,0.978,7.466,-0.037,-0.976,0.084,171.419,-42.29,14.872,-2.793,0.0119,4.655,1.959,267,car,-14.058,-4.854,-0.665,-0.516,14.87,0.242,0.801,-0.257
812.36,130.985,-37.554,7.429,-1.713,0,4.692,1.843,266,car,-1.024,-7.358,0.061,1.01,7.429,-0.032,-1.009,0.083,170.855,-42.485,14.9,-2.792,0.0116,4.655,1.959,267,car,-14.081,-4.871,-0.593,-0.484,14.898,0.241,0.723,-0.252
812.4,130.946,-37.848,7.39,-1.713,0,4.692,1.843,266,car,-1.024,-7.319,0.069,1.044,7.39,-0.026,-1.043,0.08,170.291,-42.681,14.924,-2.792,0.0112,4.655,1.959,267,car,-14.101,-4.888,-0.525,-0.455,14.922,0.24,0.649,-0.247
812.44,130.906,-38.14,7.35,-1.713,0,4.692,1.843,266,car,-1.023,-7.278,0.079,1.078,7.35,-0.021,-1.078,0.075,169.725,-42.877,14.944,-2.791,0.0107,4.655,1.959,267,car,-14.117,-4.903,-0.46,-0.429,14.942,0.24,0.58,-0.245
812.48,130.864,-38.429,7.309,-1.713,0,4.692,1.843,266,car,-1.022,-7.237,0.091,1.114,7.309,-0.016,-1.115,0.068,169.158,-43.074,14.962,-2.791,0.0103,4.655,1.959,267,car,-14.131,-4.917,-0.401,-0.406,14.96,0.236,0.516,-0.244
812.52,130.821,-38.716,7.266,-1.714,0,4.692,1.843,266,car,-1.02,-7.194,0.105,1.151,7.266,-0.015,-1.155,0.06,168.592,-43.27,14.976,-2.791,0.0099,4.655,1.959,267,car,-14.141,-4.93,-0.346,-0.386,14.974,0.233,0.458,-0.244
812.56,130.781,-39.003,7.222,-1.714,0,4.692,1.843,266,car,-1.017,-7.15,0.121,1.191,7.222,-0.012,-1.196,0.05,168.025,-43.468,14.988,-2.79,0.0097,4.655,1.959,267,car,-14.15,-4.942,-0.298,-0.37,14.986,0.228,0.407,-0.245
812.6,130.739,-39.29,7.176,-1.714,0,4.692,1.843,266,car,-1.013,-7.104,0.138,1.233,7.176,-0.01,-1.24,0.039,167.458,-43.666,14.997,-2.79,0.0096,4.655,1.959,267,car,-14.155,-4.954,-0.255,-0.356,14.996,0.226,0.362,-0.246
812.64,130.695,-39.573,7.128,-1.714,0,4.692,1.843,266,car,-1.007,-7.056,0.155,1.276,7.128,-0.007,-1.285,0.028,166.892,-43.864,15.005,-2.79,0.0097,4.655,1.959,267,car,-14.16,-4.966,-0.217,-0.345,15.004,0.221,0.323,-0.249
812.68,130.655,-39.855,7.078,-1.713,0,4.692,1.843,266,car,-1.001,-7.007,0.171,1.32,7.078,-0.005,-1.331,0.018,166.326,-44.063,15.012,-2.79,0.0101,4.655,1.959,267,car,-14.163,-4.976,-0.186,-0.337,15.01,0.21,0.291,-0.253
812.72,130.615,-40.136,7.025,-1.713,-0.0024,4.692,1.843,266,car,-0.993,-6.954,0.187,1.365,7.025,-0.005,-1.378,0.009,165.76,-44.262,15.017,-2.79,0.0108,4.655,1.959,267,car,-14.165,-4.987,-0.16,-0.333,15.016,0.197,0.265,-0.257
812.76,130.574,-40.414,6.97,-1.713,-0.0031,4.692,1.843,266,car,-0.985,-6.9,0.203,1.411,6.97,-0.006,-1.425,0,165.194,-44.462,15.022,-2.79,0.0118,4.655,1.959,267,car,-14.167,-4.997,-0.139,-0.331,15.021,0.185,0.244,-0.263
812.8,130.534,-40.691,6.912,-1.713,-0.0039,4.692,1.843,266,car,-0.975,-6.843,0.217,1.456,6.912,-0.007,-1.472,-0.008,164.629,-44.661,15.027,-2.79,0.0131,4.655,1.959,267,car,-14.168,-5.008,-0.123,-0.331,15.026,0.175,0.229,-0.269
812.84,130.493,-40.964,6.852,-1.713,-0.0047,4.692,1.843,266,car,-0.965,-6.783,0.229,1.5,6.852,-0.009,-1.518,-0.013,164.064,-44.861,15.032,-2.79,0.0146,4.655,1.959,267,car,-14.169,-5.019,-0.11,-0.335,15.031,0.17,0.219,-0.276
812.88,130.453,-41.236,6.789,-1.714,-0.0055,4.692,1.843,266,car,-0.953,-6.722,0.239,1.543,6.789,-0.014,-1.562,-0.017,163.499,-45.061,15.037,-2.789,0.0163,4.655,1.959,267,car,-14.171,-5.03,-0.101,-0.34,15.036,0.171,0.212,-0.285
812.92,130.415,-41.505,6.724,-1.714,-0.0061,4.692,1.843,266,car,-0.94,-6.658,0.246,1.584,6.724,-0.019,-1.603,-0.017,162.933,-45.262,15.043,-2.788,0.018,4.655,1.959,267,car,-14.173,-5.042,-0.094,-0.348,15.042,0.171,0.209,-0.294
812.96,130.378,-41.771,6.657,-1.714,-0.0067,4.692,1.843,266,car,-0.928,-6.592,0.25,1.623,6.657,-0.024,-1.642,-0.016,162.368,-45.463,15.049,-2.788,0.0199,4.655,1.959,267,car,-14.175,-5.055,-0.09,-0.357,15.048,0.173,0.208,-0.303
813,130.342,-42.034,6.588,-1.715,-0.0071,4.692,1.843,266,car,-0.915,-6.524,0.252,1.659,6.588,-0.029,-1.678,-0.012,161.803,-45.665,15.056,-2.787,0.0217,4.655,1.959,267,car,-14.177,-5.068,-0.086,-0.367,15.055,0.175,0.208,-0.314
813.04,130.308,-42.294,6.517,-1.715,-0.0072,4.692,1.843,266,car,-0.904,-6.454,0.252,1.692,6.517,-0.036,-1.711,-0.006,161.237,-45.866,15.063,-2.786,0.0235,4.655,1.959,267,car,-14.18,-5.082,-0.084,-0.377,15.062,0.177,0.21,-0.325
813.08,130.274,-42.552,6.446,-1.716,-0.0071,4.692,1.843,266,car,-0.893,-6.383,0.251,1.722,6.445,-0.041,-1.74,0.001,160.67,-46.069,15.071,-2.785,0.0251,4.655,1.959,267,car,-14.183,-5.097,-0.082,-0.388,15.07,0.18,0.212,-0.335
